species,bird_group,United_Kingdom,Vietnam,Australia,New_Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Image_link,Favourites
Common Redstart,,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:634607a1-e0d2-466c-9aae-a14326b0be27/1708995958-Species-Redstart-MALE-Stood-on-branch-with-lichen.jpg,
Common Ringed Plover,Waders,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Common_ringed_plover_%28Charadrius_hiaticula%29_Oppdal.jpg,
Common Sandpiper,Waders,TRUE,,,,,,,TRUE,,https://birdwatchireland.ie/app/uploads/2019/03/Common-Sandpiper-04-Ken-Kinsella.jpg,
Common Starling,Corvids Starlings and Thrushes,TRUE,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303929131/1800,
Common Swift,Hirundines,TRUE,,,,,,,TRUE,,https://upload.wikimedia.org/wikipedia/commons/b/be/Apus_apus_-Barcelona%2C_Spain-8_%281%29.jpg,
Coppersmith Barbet,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126555661/1800,
Cormorant,Cormorants and Shags,TRUE,,,,,,,,,https://birdaware.org/solent/wp-content/uploads/sites/2/2021/10/Cormorant-other-coastal-birds.jpg,
Crested Pigeon,Doves and Pigeons,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122169901/1800,TRUE
Crested Serpent Eagle,Birds of Prey,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85869891/1800,
Crested Tit,Tits,,,,,,,,TRUE,,https://www.bto.org/sites/default/files/birdfacts/00434_Crested%20Tit_Sarah%20Kelman.jpg,
Crimon Winged Woodpecker,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221152371/1800,TRUE
Curlew,Waders,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:36de1d9b-144a-4d55-8496-21173dd137e1/1887777883-Species-Curlew-Stood-in-water.jpg,
Dartford Warbler,Warblers,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/610068865/1800,
Dipper,,,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:bd0a2fde-da8e-4abb-bb27-e979e36e233c/1657578130-Species-Dipper-Stood-on-stone-in-water.jpg,
Dunlin,Waders,TRUE,,,,,,,,,https://www.birdguides-cdn.com/cdn/articles/AGAMICurlewSandpiperNetherlandsArieOuwerkerkAO20090210125-1.jpg?&width=1200&height=630&mode=crop&format=webp&webp.quality=85&scale=down,
